timestamp,force_N,emg_envelope_uV,hr_bpm,rpe
2026-04-18T09:30:00,142.99,48.32,74.6,
2026-04-18T09:30:01,135.0,39.47,70.8,
2026-04-18T09:30:02,139.74,54.0,74.6,
2026-04-18T09:30:03,136.18,59.87,72.5,
2026-04-18T09:30:04,132.21,55.34,73.0,
2026-04-18T09:30:05,130.73,57.44,74.0,
2026-04-18T09:30:06,7.21,3.06,74.7,
2026-04-18T09:30:07,5.83,3.75,73.9,
2026-04-18T09:30:08,8.56,5.62,74.2,
2026-04-18T09:30:09,5.97,5.05,76.1,
2026-04-18T09:30:10,141.56,65.64,74.1,
2026-04-18T09:30:11,136.36,33.38,77.9,
2026-04-18T09:30:12,135.97,40.35,73.5,
2026-04-18T09:30:13,135.69,54.66,76.9,
2026-04-18T09:30:14,136.22,57.64,75.6,
2026-04-18T09:30:15,127.36,48.57,77.8,
2026-04-18T09:30:16,6.88,5.84,75.8,
2026-04-18T09:30:17,7.94,4.63,79.3,
2026-04-18T09:30:18,5.84,3.81,78.8,
2026-04-18T09:30:19,8.5,3.36,77.0,
2026-04-18T09:30:20,136.09,66.79,76.0,
2026-04-18T09:30:21,141.38,67.44,75.0,
2026-04-18T09:30:22,135.92,44.04,78.8,
2026-04-18T09:30:23,139.06,54.59,74.6,
2026-04-18T09:30:24,124.6,70.55,75.3,
2026-04-18T09:30:25,125.94,69.31,76.7,
2026-04-18T09:30:26,6.34,4.41,73.0,
2026-04-18T09:30:27,8.39,2.88,72.8,
2026-04-18T09:30:28,8.46,4.8,80.3,
2026-04-18T09:30:29,6.23,4.48,72.4,
2026-04-18T09:30:30,141.22,81.47,76.4,10
2026-04-18T09:30:31,134.97,50.63,79.0,
2026-04-18T09:30:32,134.43,59.71,77.2,
2026-04-18T09:30:33,130.5,40.52,78.0,
2026-04-18T09:30:34,122.4,61.15,80.0,
2026-04-18T09:30:35,128.2,49.35,76.0,
2026-04-18T09:30:36,8.5,4.4,77.3,
2026-04-18T09:30:37,7.13,2.92,81.1,
2026-04-18T09:30:38,7.46,4.49,77.5,
2026-04-18T09:30:39,7.07,1.34,74.0,
2026-04-18T09:30:40,136.02,57.48,75.7,
2026-04-18T09:30:41,144.85,74.32,80.9,
2026-04-18T09:30:42,139.5,65.05,80.1,
2026-04-18T09:30:43,138.61,59.43,79.5,
2026-04-18T09:30:44,133.18,53.12,86.2,
2026-04-18T09:30:45,129.03,55.62,76.3,
2026-04-18T09:30:46,4.52,5.53,77.9,
2026-04-18T09:30:47,7.34,3.97,75.0,
2026-04-18T09:30:48,8.98,1.37,76.4,
2026-04-18T09:30:49,5.39,3.54,78.9,
2026-04-18T09:30:50,140.18,108.07,78.4,
2026-04-18T09:30:51,133.78,48.99,77.4,
2026-04-18T09:30:52,135.65,97.3,82.9,
2026-04-18T09:30:53,135.92,53.2,76.2,
2026-04-18T09:30:54,124.37,61.13,88.1,
2026-04-18T09:30:55,128.86,48.57,82.6,
2026-04-18T09:30:56,8.25,2.73,78.8,
2026-04-18T09:30:57,7.44,2.36,79.2,
2026-04-18T09:30:58,5.79,4.53,79.4,
2026-04-18T09:30:59,6.21,7.77,76.3,
2026-04-18T09:31:00,132.64,63.45,78.1,10
2026-04-18T09:31:01,136.65,71.67,79.3,
2026-04-18T09:31:02,132.13,55.64,77.5,
2026-04-18T09:31:03,132.07,58.59,81.9,
2026-04-18T09:31:04,127.76,87.59,82.2,
2026-04-18T09:31:05,120.46,68.17,78.8,
2026-04-18T09:31:06,8.04,9.3,80.7,
2026-04-18T09:31:07,8.3,5.39,75.2,
2026-04-18T09:31:08,8.86,4.95,83.4,
2026-04-18T09:31:09,7.08,5.53,87.2,
2026-04-18T09:31:10,138.17,71.07,79.6,
2026-04-18T09:31:11,128.57,86.01,78.0,
2026-04-18T09:31:12,128.6,84.42,82.6,
2026-04-18T09:31:13,125.65,80.51,81.0,
2026-04-18T09:31:14,129.66,90.65,79.2,
