t_s,force_N
0.000,57.048
0.010,57.002
0.020,60.215
0.030,55.411
0.040,58.486
0.050,57.694
0.060,59.907
0.070,59.116
0.080,58.250
0.090,58.997
0.100,57.404
0.110,60.196
0.120,59.046
0.130,56.521
0.140,56.241
0.150,60.221
0.160,55.313
0.170,56.137
0.180,58.166
0.190,57.134
0.200,57.721
0.210,59.804
0.220,56.829
0.230,59.922
0.240,56.648
0.250,58.331
0.260,58.690
0.270,58.556
0.280,60.307
0.290,60.259
0.300,56.238
0.310,58.664
0.320,59.227
0.330,58.841
0.340,56.997
0.350,59.851
0.360,59.816
0.370,55.159
0.380,60.203
0.390,57.050
0.400,58.409
0.410,56.095
0.420,57.198
0.430,59.061
0.440,55.704
0.450,55.918
0.460,59.056
0.470,59.912
0.480,56.757
0.490,56.744
0.500,60.479
0.510,58.688
0.520,55.224
0.530,59.508
0.540,58.949
0.550,58.398
0.560,59.689
0.570,55.886
0.580,55.159
0.590,55.035
0.600,57.481
0.610,59.704
0.620,57.010
0.630,57.000
0.640,56.833
0.650,58.354
0.660,55.165
0.670,55.391
0.680,56.705
0.690,57.873
0.700,58.595
0.710,56.532
0.720,58.095
0.730,55.192
0.740,57.222
0.750,55.600
0.760,58.637
0.770,55.800
0.780,55.705
0.790,60.503
0.800,60.033
0.810,58.201
0.820,55.250
0.830,59.758
0.840,60.077
0.850,57.647
0.860,58.805
0.870,56.081
0.880,58.089
0.890,55.475
0.900,59.292
0.910,60.326
0.920,58.418
0.930,57.823
0.940,57.434
0.950,55.008
0.960,59.000
0.970,59.847
0.980,58.325
0.990,59.650
1.000,57.363
1.010,56.347
1.020,56.975
1.030,57.954
1.040,58.200
1.050,58.448
1.060,57.368
1.070,58.451
1.080,58.075
1.090,59.345
1.100,59.625
1.110,59.638
1.120,58.109
1.130,54.759
1.140,54.932
1.150,56.639
1.160,54.959
1.170,59.741
1.180,56.884
1.190,60.121
1.200,55.683
1.210,58.872
1.220,55.793
1.230,56.716
1.240,57.930
1.250,59.520
1.260,55.128
1.270,55.124
1.280,60.113
1.290,57.474
1.300,60.462
1.310,55.138
1.320,59.546
1.330,59.865
1.340,55.893
1.350,59.729
1.360,57.429
1.370,57.914
1.380,58.581
1.390,58.970
1.400,56.236
1.410,58.612
1.420,59.425
1.430,59.943
1.440,57.175
1.450,59.928
1.460,55.684
1.470,59.065
1.480,58.839
1.490,56.970
1.500,60.055
1.510,59.344
1.520,58.663
1.530,60.185
1.540,56.282
1.550,57.696
1.560,54.916
1.570,56.150
1.580,55.069
1.590,60.005
1.600,58.967
1.610,60.135
1.620,55.833
1.630,55.357
1.640,58.185
1.650,55.086
1.660,60.259
1.670,55.465
1.680,56.522
1.690,58.741
1.700,58.015
1.710,58.798
1.720,55.069
1.730,57.831
1.740,59.884
1.750,55.772
1.760,55.921
1.770,59.440
1.780,60.124
1.790,57.341
1.800,55.222
1.810,55.683
1.820,55.814
1.830,56.159
1.840,57.868
1.850,58.222
1.860,55.342
1.870,56.689
1.880,56.012
1.890,56.691
1.900,55.735
1.910,58.138
1.920,54.837
1.930,56.714
1.940,55.030
1.950,59.470
1.960,58.596
1.970,55.871
1.980,56.628
1.990,57.954
2.000,57.433
2.010,58.547
2.020,56.533
2.030,59.479
2.040,55.153
2.050,55.404
2.060,56.537
2.070,57.602
2.080,58.762
2.090,55.123
2.100,55.812
2.110,57.693
2.120,55.550
2.130,55.999
2.140,58.033
2.150,56.476
2.160,58.888
2.170,58.479
2.180,58.914
2.190,54.938
2.200,59.926
2.210,56.736
2.220,54.851
2.230,59.826
2.240,58.165
2.250,58.436
2.260,56.300
2.270,56.636
2.280,55.896
2.290,58.126
2.300,55.413
2.310,58.464
2.320,59.388
2.330,58.084
2.340,58.777
2.350,55.869
2.360,55.733
2.370,54.580
2.380,56.706
2.390,55.520
2.400,58.247
2.410,56.708
2.420,55.286
2.430,55.364
2.440,54.839
2.450,57.347
2.460,56.092
2.470,55.154
2.480,59.047
2.490,59.858
2.500,56.363
2.510,58.127
2.520,59.853
2.530,59.432
2.540,57.352
2.550,56.468
2.560,56.211
2.570,54.699
2.580,56.058
2.590,59.210
2.600,56.297
2.610,59.464
2.620,55.252
2.630,59.045
2.640,58.748
2.650,54.425
2.660,57.359
2.670,54.979
2.680,59.034
2.690,59.172
2.700,58.375
2.710,55.248
2.720,57.943
2.730,58.962
2.740,56.972
2.750,56.833
2.760,54.650
2.770,57.387
2.780,54.566
2.790,56.389
2.800,59.030
2.810,57.962
2.820,58.716
2.830,57.276
2.840,59.862
2.850,56.632
2.860,59.102
2.870,54.822
2.880,59.713
2.890,58.869
2.900,60.040
2.910,55.385
2.920,57.586
2.930,55.657
2.940,57.098
2.950,55.625
2.960,58.006
2.970,58.948
2.980,57.460
2.990,56.216
3.000,56.543
3.010,58.363
3.020,56.208
3.030,58.474
3.040,58.008
3.050,59.863
3.060,57.783
3.070,54.929
3.080,59.874
3.090,58.464
3.100,58.818
3.110,54.335
3.120,54.769
3.130,57.144
3.140,54.515
3.150,59.523
3.160,56.596
3.170,54.839
3.180,57.407
3.190,58.175
3.200,55.021
3.210,56.157
3.220,55.084
3.230,54.995
3.240,55.317
3.250,56.143
3.260,58.932
3.270,55.867
3.280,58.838
3.290,58.675
3.300,56.226
3.310,57.903
3.320,58.408
3.330,58.709
3.340,55.288
3.350,56.779
3.360,58.821
3.370,55.012
3.380,54.483
3.390,58.815
3.400,56.347
3.410,55.709
3.420,58.480
3.430,58.239
3.440,57.126
3.450,56.133
3.460,59.290
3.470,54.260
3.480,59.570
3.490,54.403
3.500,56.646
3.510,57.889
3.520,59.840
3.530,54.696
3.540,55.744
3.550,57.499
3.560,54.917
3.570,56.137
3.580,54.985
3.590,55.977
3.600,55.476
3.610,59.145
3.620,58.179
3.630,55.270
3.640,56.586
3.650,56.470
3.660,58.030
3.670,55.389
3.680,58.856
3.690,59.057
3.700,59.429
3.710,58.916
3.720,56.985
3.730,54.284
