t_s,force_N
0.000,90.369
0.010,84.512
0.020,88.311
0.030,86.934
0.040,85.909
0.050,86.097
0.060,92.169
0.070,85.788
0.080,91.872
0.090,88.937
0.100,84.876
0.110,89.995
0.120,83.928
0.130,90.282
0.140,91.009
0.150,91.685
0.160,87.119
0.170,87.419
0.180,91.273
0.190,88.872
0.200,90.541
0.210,90.296
0.220,86.924
0.230,88.958
0.240,91.939
0.250,87.994
0.260,88.109
0.270,89.391
0.280,89.955
0.290,89.165
0.300,86.384
0.310,89.912
0.320,89.787
0.330,83.991
0.340,88.414
0.350,89.110
0.360,84.048
0.370,88.821
0.380,90.493
0.390,87.286
0.400,91.175
0.410,91.943
0.420,90.642
0.430,88.912
0.440,86.034
0.450,89.839
0.460,87.773
0.470,87.346
0.480,85.181
0.490,88.480
0.500,89.132
0.510,88.748
0.520,90.493
0.530,91.697
0.540,85.827
0.550,84.909
0.560,86.392
0.570,88.860
0.580,84.827
0.590,89.080
0.600,87.453
0.610,91.613
0.620,90.233
0.630,90.029
0.640,83.846
0.650,83.752
0.660,91.971
0.670,90.550
0.680,85.886
0.690,87.485
0.700,89.294
0.710,90.496
0.720,85.564
0.730,89.923
0.740,84.153
0.750,88.492
0.760,84.681
0.770,84.635
0.780,85.610
0.790,84.293
0.800,88.940
0.810,90.976
0.820,84.884
0.830,87.059
0.840,88.893
0.850,90.876
0.860,86.585
0.870,83.780
0.880,84.371
0.890,84.499
0.900,84.833
0.910,89.094
0.920,89.240
0.930,90.466
0.940,89.093
0.950,84.386
0.960,84.927
0.970,88.615
0.980,90.560
0.990,87.819
1.000,85.772
1.010,90.616
1.020,84.126
1.030,86.628
1.040,90.734
1.050,88.145
1.060,87.370
1.070,86.819
1.080,88.145
1.090,91.730
1.100,89.814
1.110,88.710
1.120,89.434
1.130,88.554
1.140,87.788
1.150,91.744
1.160,90.206
1.170,88.778
1.180,91.352
1.190,89.814
1.200,84.573
1.210,90.390
1.220,89.099
1.230,84.339
1.240,86.561
1.250,88.871
1.260,91.788
1.270,88.360
1.280,84.392
1.290,88.487
1.300,85.745
1.310,84.977
1.320,89.399
1.330,86.006
1.340,86.101
1.350,90.284
1.360,90.827
1.370,89.619
1.380,83.606
1.390,87.754
1.400,90.345
1.410,89.428
1.420,91.302
1.430,84.761
1.440,86.221
1.450,91.226
1.460,87.033
1.470,88.270
1.480,87.844
1.490,91.236
1.500,84.437
1.510,84.014
1.520,89.777
1.530,89.792
1.540,84.413
1.550,86.381
1.560,91.157
1.570,88.871
1.580,89.228
1.590,83.390
1.600,87.307
1.610,88.322
1.620,85.918
1.630,84.522
1.640,88.954
1.650,90.787
1.660,83.506
1.670,89.476
1.680,91.061
1.690,90.525
1.700,84.895
1.710,85.636
1.720,86.158
1.730,91.124
1.740,83.387
1.750,82.845
1.760,82.986
1.770,88.949
1.780,85.524
1.790,89.478
1.800,88.286
1.810,85.044
1.820,87.051
1.830,83.686
1.840,87.475
1.850,82.814
1.860,87.670
1.870,90.066
1.880,86.257
1.890,87.149
1.900,86.185
1.910,90.768
1.920,89.540
1.930,88.203
1.940,91.218
1.950,85.913
1.960,88.910
1.970,83.834
1.980,87.910
1.990,85.429
2.000,84.710
2.010,90.022
2.020,86.292
2.030,86.285
2.040,90.276
2.050,88.649
2.060,83.341
2.070,90.085
2.080,90.802
2.090,90.896
2.100,84.332
2.110,85.794
2.120,82.699
2.130,91.124
2.140,82.653
2.150,86.781
2.160,88.437
2.170,88.465
2.180,83.859
2.190,83.206
2.200,91.044
2.210,90.218
2.220,88.908
2.230,87.413
2.240,84.151
2.250,86.324
2.260,87.635
2.270,85.853
2.280,90.751
2.290,82.847
2.300,85.239
2.310,90.323
2.320,83.141
2.330,89.629
2.340,89.059
2.350,88.849
2.360,83.304
2.370,83.156
2.380,83.708
2.390,83.028
2.400,90.250
2.410,85.982
2.420,82.526
2.430,89.654
2.440,88.890
2.450,91.180
2.460,84.270
2.470,85.634
2.480,87.908
2.490,82.647
2.500,83.781
2.510,86.421
2.520,83.295
2.530,88.011
2.540,87.146
2.550,84.750
2.560,87.257
2.570,82.944
2.580,85.014
2.590,91.099
2.600,84.193
2.610,88.577
2.620,83.075
2.630,86.311
2.640,84.330
2.650,89.983
2.660,84.305
2.670,86.370
2.680,82.975
2.690,85.875
2.700,86.460
2.710,85.691
2.720,88.852
2.730,89.065
2.740,90.393
2.750,82.729
2.760,88.032
2.770,85.081
2.780,87.246
2.790,89.782
2.800,86.058
2.810,85.274
2.820,90.433
2.830,84.256
2.840,85.052
2.850,89.452
2.860,85.819
2.870,84.986
2.880,87.091
2.890,87.013
2.900,86.557
2.910,84.927
2.920,86.640
2.930,85.056
2.940,90.389
2.950,83.690
2.960,86.062
2.970,87.583
2.980,90.317
2.990,84.365
3.000,83.515
3.010,83.243
3.020,90.150
3.030,90.489
3.040,89.140
3.050,83.761
3.060,83.556
3.070,85.961
3.080,87.110
3.090,87.229
3.100,84.935
3.110,87.789
3.120,86.151
3.130,86.064
3.140,89.446
3.150,90.809
3.160,87.692
3.170,84.997
3.180,90.731
3.190,83.804
3.200,82.616
3.210,83.543
3.220,89.686
3.230,85.050
3.240,88.839
3.250,88.126
3.260,86.867
3.270,84.759
3.280,90.678
3.290,90.556
3.300,85.753
3.310,83.692
3.320,83.863
3.330,87.150
3.340,88.682
3.350,86.541
3.360,82.277
3.370,87.079
3.380,84.470
3.390,84.733
3.400,90.426
3.410,86.802
3.420,83.760
3.430,86.849
3.440,88.728
3.450,83.004
3.460,85.168
3.470,82.387
3.480,90.170
3.490,89.370
3.500,83.477
3.510,90.260
3.520,88.786
3.530,82.854
3.540,84.598
3.550,90.087
3.560,87.835
3.570,84.923
3.580,86.321
3.590,83.619
3.600,88.138
3.610,84.350
3.620,83.028
3.630,83.926
3.640,81.960
3.650,88.024
3.660,88.957
3.670,84.888
3.680,88.397
3.690,89.817
3.700,82.455
3.710,86.625
3.720,87.307
3.730,85.601
3.740,90.256
3.750,85.614
3.760,87.173
3.770,87.044
3.780,88.017
3.790,86.676
3.800,84.581
3.810,90.336
3.820,86.652
3.830,87.760
3.840,83.773
3.850,89.793
3.860,86.432
3.870,89.538
3.880,86.335
3.890,90.307
3.900,87.760
3.910,87.044
3.920,89.246
3.930,90.228
3.940,81.998
3.950,86.199
3.960,84.838
3.970,88.926
3.980,89.721
3.990,82.730
4.000,87.155
4.010,87.409
4.020,85.881
4.030,82.322
4.040,82.497
4.050,84.482
4.060,81.678
4.070,84.674
4.080,89.510
4.090,88.921
4.100,83.743
4.110,86.390
4.120,87.074
4.130,85.402
4.140,89.738
4.150,86.547
4.160,83.403
4.170,85.318
4.180,82.288
4.190,87.051
4.200,85.399
4.210,88.606
4.220,88.460
4.230,85.135
4.240,89.821
4.250,83.183
4.260,85.917
4.270,84.412
4.280,90.220
4.290,85.009
4.300,86.972
4.310,88.272
4.320,85.315
4.330,89.878
4.340,87.547
4.350,86.376
4.360,88.391
4.370,89.202
4.380,86.091
4.390,88.204
4.400,83.389
4.410,83.593
4.420,86.858
4.430,84.205
4.440,83.260
4.450,84.923
4.460,87.669
4.470,84.621
4.480,89.426
4.490,82.852
4.500,89.076
4.510,84.708
4.520,82.144
4.530,83.867
4.540,82.484
4.550,85.454
4.560,87.960
4.570,87.787
4.580,83.004
4.590,81.565
4.600,83.281
4.610,82.847
4.620,89.834
4.630,81.931
4.640,82.429
4.650,87.792
4.660,82.592
4.670,82.296
4.680,87.918
4.690,82.693
4.700,84.751
4.710,88.807
4.720,85.139
4.730,84.574
4.740,87.981
4.750,83.817
4.760,85.969
4.770,88.982
4.780,87.386
4.790,83.732
4.800,85.985
4.810,85.258
4.820,81.640
4.830,81.949
4.840,86.321
4.850,82.596
4.860,88.679
4.870,87.859
4.880,84.194
4.890,84.103
4.900,83.470
4.910,87.157
4.920,84.993
4.930,87.787
4.940,89.910
4.950,82.710
4.960,87.261
4.970,89.524
4.980,84.319
4.990,81.409
5.000,82.895
5.010,82.166
5.020,87.136
5.030,89.787
5.040,83.766
5.050,87.739
5.060,84.172
5.070,83.861
5.080,89.660
5.090,88.750
5.100,87.856
5.110,89.830
5.120,85.910
5.130,86.750
5.140,82.906
5.150,82.476
5.160,81.130
5.170,85.365
5.180,83.215
5.190,88.340
5.200,87.019
5.210,85.580
5.220,82.078
5.230,85.332
5.240,87.178
5.250,86.555
5.260,81.706
5.270,87.557
5.280,82.559
5.290,83.062
5.300,84.773
5.310,81.822
5.320,82.672
5.330,80.970
5.340,82.948
5.350,81.377
5.360,82.389
5.370,82.634
5.380,85.476
5.390,88.465
