t_s,force_N
0.000,87.139
0.010,86.611
0.020,89.407
0.030,89.107
0.040,91.601
0.050,91.794
0.060,84.145
0.070,84.982
0.080,83.765
0.090,88.251
0.100,91.104
0.110,89.583
0.120,86.916
0.130,88.132
0.140,86.401
0.150,85.247
0.160,92.087
0.170,91.971
0.180,88.199
0.190,92.196
0.200,85.060
0.210,85.373
0.220,91.476
0.230,83.600
0.240,85.860
0.250,89.829
0.260,91.050
0.270,84.930
0.280,85.218
0.290,87.669
0.300,91.889
0.310,89.162
0.320,88.951
0.330,89.166
0.340,90.655
0.350,87.493
0.360,84.205
0.370,88.920
0.380,91.473
0.390,83.663
0.400,90.781
0.410,91.680
0.420,83.455
0.430,86.100
0.440,86.467
0.450,84.054
0.460,85.506
0.470,87.769
0.480,87.117
0.490,90.651
0.500,87.740
0.510,88.483
0.520,85.832
0.530,91.955
0.540,88.207
0.550,86.486
0.560,85.017
0.570,88.492
0.580,88.383
0.590,90.260
0.600,83.849
0.610,85.047
0.620,84.855
0.630,88.967
0.640,88.278
0.650,83.903
0.660,87.905
0.670,85.506
0.680,89.415
0.690,85.328
0.700,86.175
0.710,86.070
0.720,83.283
0.730,91.489
0.740,91.451
0.750,89.493
0.760,85.591
0.770,89.742
0.780,91.284
0.790,90.481
0.800,89.367
0.810,84.263
0.820,87.392
0.830,87.769
0.840,83.471
0.850,88.610
0.860,83.306
0.870,83.719
0.880,87.562
0.890,84.694
0.900,86.269
0.910,90.838
0.920,87.241
0.930,90.086
0.940,88.586
0.950,90.654
0.960,91.241
0.970,90.733
0.980,86.837
0.990,87.764
1.000,91.776
1.010,85.561
1.020,84.674
1.030,87.855
1.040,89.040
1.050,83.946
1.060,87.606
1.070,87.296
1.080,86.651
1.090,83.881
1.100,85.625
1.110,89.086
1.120,91.217
1.130,91.527
1.140,90.027
1.150,87.583
1.160,89.171
1.170,83.600
1.180,87.020
1.190,85.266
1.200,87.370
1.210,91.464
1.220,88.157
1.230,89.322
1.240,90.315
1.250,91.365
1.260,90.908
1.270,85.687
1.280,88.960
1.290,89.530
1.300,86.430
1.310,87.553
1.320,90.473
1.330,90.207
1.340,87.937
1.350,89.434
1.360,86.605
1.370,85.867
1.380,91.131
1.390,90.745
1.400,88.090
1.410,84.567
1.420,90.620
1.430,85.450
1.440,91.069
1.450,86.610
1.460,90.013
1.470,89.521
1.480,83.765
1.490,90.609
1.500,90.525
1.510,88.070
1.520,87.665
1.530,86.006
1.540,83.955
1.550,91.432
1.560,91.367
1.570,83.508
1.580,90.563
1.590,87.789
1.600,89.440
1.610,89.123
1.620,86.372
1.630,84.855
1.640,89.213
1.650,83.750
1.660,86.423
1.670,85.045
1.680,90.123
1.690,83.365
1.700,86.868
1.710,85.708
1.720,86.413
1.730,88.648
1.740,85.927
1.750,90.669
1.760,88.563
1.770,88.549
1.780,88.941
1.790,90.967
1.800,88.129
1.810,85.764
1.820,88.979
1.830,85.038
1.840,83.664
1.850,84.522
1.860,85.604
1.870,90.573
1.880,91.349
1.890,84.779
1.900,91.219
1.910,84.603
1.920,83.342
1.930,87.474
1.940,83.000
1.950,85.526
1.960,90.251
1.970,83.450
1.980,88.195
1.990,90.184
2.000,87.810
2.010,90.028
2.020,88.726
2.030,88.230
2.040,88.393
2.050,89.324
2.060,89.944
2.070,89.530
2.080,90.437
2.090,83.800
2.100,90.434
2.110,89.154
2.120,83.360
2.130,87.301
2.140,89.522
2.150,82.806
2.160,86.936
2.170,86.258
2.180,90.199
2.190,89.910
2.200,86.912
2.210,87.393
2.220,83.365
2.230,84.787
2.240,83.676
2.250,84.524
2.260,90.211
2.270,88.784
2.280,83.895
2.290,89.214
2.300,83.345
2.310,86.678
2.320,82.859
2.330,85.474
2.340,91.069
2.350,89.627
2.360,87.607
2.370,82.458
2.380,89.779
2.390,88.976
2.400,85.795
2.410,86.852
2.420,91.170
2.430,85.427
2.440,90.214
2.450,83.111
2.460,88.502
2.470,90.914
2.480,84.275
2.490,84.764
2.500,86.508
2.510,88.440
2.520,83.034
2.530,85.643
2.540,85.896
2.550,89.529
2.560,87.654
