t_s,envelope_uV
0.000,69.7006
0.010,68.3361
0.020,64.5046
0.030,60.3332
0.040,65.6659
0.050,68.0784
0.060,69.9760
0.070,61.9077
0.080,61.5522
0.090,63.7969
0.100,61.6344
0.110,61.8048
0.120,69.3979
0.130,61.8919
0.140,73.6875
0.150,68.3076
0.160,70.3406
0.170,64.8289
0.180,73.0977
0.190,69.7844
0.200,70.9517
0.210,71.0623
0.220,71.2838
0.230,65.6023
0.240,63.3635
0.250,64.6291
0.260,63.2926
0.270,75.2718
0.280,71.8581
0.290,69.7620
0.300,74.2917
0.310,66.4600
0.320,67.1098
0.330,65.0903
0.340,69.6712
0.350,67.3691
0.360,68.3668
0.370,64.1234
0.380,75.6301
0.390,72.8276
0.400,69.2691
0.410,68.0884
0.420,69.3708
0.430,71.3807
0.440,71.4991
0.450,67.5741
0.460,63.4755
0.470,66.2570
0.480,65.5209
0.490,73.5630
0.500,62.6416
0.510,74.7237
0.520,66.3173
0.530,68.2434
0.540,73.8542
0.550,65.9839
0.560,69.5237
0.570,68.3551
0.580,69.5484
0.590,73.4100
0.600,67.3024
0.610,68.2724
0.620,60.6274
0.630,60.7583
0.640,72.2551
0.650,60.2388
0.660,63.0827
0.670,62.5122
0.680,60.5540
0.690,65.6729
0.700,69.0601
0.710,67.8629
0.720,61.5194
0.730,67.6369
0.740,58.3492
0.750,67.8355
0.760,69.3219
0.770,67.8196
0.780,68.9616
0.790,69.1757
0.800,65.9914
0.810,67.7831
0.820,63.6360
0.830,65.0128
0.840,63.3676
0.850,62.2630
0.860,57.2852
0.870,65.0502
0.880,67.1940
0.890,64.7460
0.900,66.9195
0.910,56.9084
0.920,55.0282
0.930,61.6308
0.940,57.4131
0.950,55.6688
0.960,66.4020
0.970,62.4788
0.980,57.1607
0.990,62.8937
1.000,59.1397
1.010,64.6448
1.020,57.5432
1.030,58.2251
1.040,55.8318
1.050,55.2139
1.060,65.6213
1.070,61.4190
1.080,63.0013
1.090,58.9844
1.100,56.2735
1.110,57.2695
1.120,62.0717
1.130,59.7424
1.140,65.3595
1.150,65.1591
1.160,57.5092
1.170,65.0420
1.180,60.1468
1.190,61.0924
1.200,60.2773
1.210,63.7784
1.220,58.3943
1.230,63.3377
1.240,57.8580
1.250,66.2001
1.260,60.3528
1.270,59.6596
1.280,55.5929
1.290,59.5952
1.300,64.4898
1.310,67.7922
1.320,56.7130
1.330,61.3465
1.340,61.2841
1.350,65.6958
1.360,67.2011
1.370,69.0788
1.380,69.0972
1.390,62.5639
1.400,69.4741
1.410,70.7558
1.420,62.3154
1.430,61.2112
1.440,59.4768
1.450,63.4976
1.460,63.7459
1.470,61.9234
1.480,64.2543
1.490,69.5480
1.500,71.9046
1.510,62.1017
1.520,69.8375
1.530,67.9234
1.540,69.8752
1.550,71.3645
1.560,63.7921
1.570,70.9862
1.580,65.2468
1.590,71.0734
1.600,64.8023
1.610,65.0291
1.620,69.9470
1.630,69.5902
1.640,74.8734
1.650,66.6196
1.660,68.1722
1.670,68.7366
1.680,72.0031
1.690,73.6386
1.700,70.9482
1.710,75.4625
1.720,72.0571
1.730,71.5612
1.740,74.1531
1.750,64.5459
1.760,72.2756
1.770,66.0446
1.780,76.3231
1.790,73.7913
1.800,72.8431
1.810,71.6585
1.820,64.5903
1.830,73.9068
1.840,73.3231
1.850,67.1670
1.860,70.2271
1.870,67.3716
1.880,68.6191
1.890,64.8613
1.900,72.9955
1.910,75.2075
1.920,71.4271
1.930,72.4352
1.940,69.0219
1.950,65.4100
1.960,64.8113
1.970,69.4822
1.980,67.9943
1.990,68.0255
2.000,65.8642
2.010,67.9527
2.020,68.6121
2.030,65.8902
2.040,70.3451
2.050,67.6702
2.060,62.1687
2.070,69.1203
2.080,72.6558
2.090,69.6675
2.100,60.1892
2.110,61.8237
2.120,67.7524
2.130,59.4798
2.140,68.1959
2.150,68.3717
2.160,64.5554
2.170,59.2600
2.180,59.0827
2.190,60.7648
2.200,67.9859
2.210,65.7672
2.220,57.5107
2.230,69.0228
2.240,67.6830
2.250,62.0847
2.260,61.6794
2.270,59.0486
2.280,56.5839
2.290,56.9430
2.300,62.0844
2.310,55.8099
2.320,59.9420
2.330,62.2817
2.340,64.5715
2.350,66.9050
2.360,56.5731
2.370,58.4266
2.380,55.4651
2.390,66.5350
2.400,62.6910
