t_s,envelope_uV
0.000,63.0523
0.010,70.4907
0.020,61.7711
0.030,66.3230
0.040,64.3646
0.050,64.9675
0.060,72.1545
0.070,62.1209
0.080,71.8769
0.090,71.3908
0.100,71.3562
0.110,64.5384
0.120,61.6707
0.130,67.5481
0.140,72.6932
0.150,64.2988
0.160,63.5301
0.170,68.7202
0.180,70.7855
0.190,62.3535
0.200,69.0418
0.210,65.1378
0.220,66.7887
0.230,72.7646
0.240,69.2525
0.250,66.8256
0.260,69.0563
0.270,63.2077
0.280,73.3737
0.290,63.8756
0.300,69.9900
0.310,72.3920
0.320,69.2656
0.330,70.3074
0.340,67.4945
0.350,71.9626
0.360,63.5468
0.370,68.8601
0.380,68.4995
0.390,69.5825
0.400,65.0409
0.410,67.4060
0.420,74.3041
0.430,68.2037
0.440,65.7001
0.450,74.5314
0.460,72.0854
0.470,74.1537
0.480,72.0800
0.490,63.4559
0.500,71.8984
0.510,64.3346
0.520,63.3001
0.530,70.7105
0.540,69.7290
0.550,62.9446
0.560,72.3801
0.570,72.4309
0.580,61.3653
0.590,65.1120
0.600,66.0645
0.610,71.2879
0.620,69.0074
0.630,66.0122
0.640,71.5535
0.650,70.8578
0.660,62.7951
0.670,66.7288
0.680,69.5187
0.690,61.6022
0.700,69.4868
0.710,60.1103
0.720,64.9196
0.730,62.0092
0.740,62.7689
0.750,62.8443
0.760,60.3508
0.770,67.3608
0.780,60.8456
0.790,59.9462
0.800,59.7325
0.810,62.6366
0.820,63.5934
0.830,67.9710
0.840,64.1116
0.850,61.1319
0.860,58.8007
0.870,67.7824
0.880,62.4884
0.890,61.8292
0.900,61.6617
0.910,64.1089
0.920,63.5017
0.930,57.9524
0.940,65.3427
0.950,57.5292
0.960,58.9778
0.970,58.2760
0.980,54.6718
0.990,55.1169
1.000,57.0133
1.010,65.8359
1.020,53.4636
1.030,60.7382
1.040,55.8256
1.050,61.4575
1.060,53.8452
1.070,57.0473
1.080,65.3992
1.090,61.6253
1.100,55.9438
1.110,62.3915
1.120,54.6821
1.130,62.0696
1.140,59.9425
1.150,61.1223
1.160,64.4604
1.170,53.9321
1.180,55.1771
1.190,58.8235
1.200,61.5980
1.210,62.7060
1.220,58.5913
1.230,54.4325
1.240,60.4102
1.250,64.1436
1.260,55.9501
1.270,57.0886
1.280,66.2750
1.290,57.6688
1.300,62.3800
1.310,67.7388
1.320,64.4395
1.330,63.2643
