t_s,force_N
0.000,53.188
0.010,57.069
0.020,55.481
0.030,56.901
0.040,57.710
0.050,57.444
0.060,58.193
0.070,57.019
0.080,57.049
0.090,55.639
0.100,55.692
0.110,55.371
0.120,53.941
0.130,55.835
0.140,57.393
0.150,52.925
0.160,53.165
0.170,57.082
0.180,52.766
0.190,56.115
0.200,56.111
0.210,56.871
0.220,53.471
0.230,52.865
0.240,53.914
0.250,57.790
0.260,53.001
0.270,54.727
0.280,54.820
0.290,56.661
0.300,55.830
0.310,53.215
0.320,53.573
0.330,54.726
0.340,53.844
0.350,54.015
0.360,57.794
0.370,57.535
0.380,53.052
0.390,53.501
0.400,56.263
0.410,56.870
0.420,54.716
0.430,54.481
0.440,53.958
0.450,53.927
0.460,54.773
0.470,57.771
0.480,55.962
0.490,56.259
0.500,53.311
0.510,57.976
0.520,52.982
0.530,58.045
0.540,53.396
0.550,53.391
0.560,55.844
0.570,56.739
0.580,57.889
0.590,52.783
0.600,56.839
0.610,54.366
0.620,55.768
0.630,52.609
0.640,57.750
0.650,56.998
0.660,53.644
0.670,53.461
0.680,56.959
0.690,54.708
0.700,52.934
0.710,54.293
0.720,54.028
0.730,54.965
0.740,55.963
0.750,56.236
0.760,56.419
0.770,53.656
0.780,52.807
0.790,53.387
0.800,57.983
0.810,53.744
0.820,56.464
0.830,57.412
0.840,54.436
0.850,57.800
0.860,53.419
0.870,57.879
0.880,57.930
0.890,53.382
0.900,53.678
0.910,53.709
0.920,54.657
0.930,57.035
0.940,57.433
0.950,56.576
0.960,53.169
0.970,56.190
0.980,56.988
0.990,58.007
1.000,56.562
1.010,53.075
1.020,52.574
1.030,56.287
1.040,57.369
1.050,55.724
1.060,57.700
1.070,56.910
1.080,55.163
1.090,57.691
1.100,57.584
1.110,55.553
1.120,57.301
1.130,52.906
1.140,52.553
1.150,57.391
1.160,57.941
1.170,53.340
1.180,56.941
1.190,56.719
1.200,56.586
1.210,56.657
1.220,53.927
1.230,55.058
1.240,54.358
1.250,55.407
1.260,55.365
1.270,55.755
1.280,55.006
1.290,57.362
1.300,56.901
1.310,56.660
1.320,56.214
1.330,55.471
1.340,54.284
1.350,54.569
1.360,56.460
1.370,57.076
1.380,55.919
1.390,56.732
1.400,56.646
1.410,57.507
1.420,53.631
1.430,55.815
1.440,52.917
1.450,53.071
1.460,53.652
1.470,57.029
1.480,54.007
1.490,55.640
1.500,56.967
1.510,56.028
1.520,55.924
1.530,55.199
1.540,55.820
1.550,57.286
1.560,55.844
1.570,54.475
1.580,56.035
1.590,56.549
1.600,54.113
1.610,56.731
1.620,54.483
1.630,56.671
1.640,56.341
1.650,56.669
1.660,55.349
1.670,55.267
1.680,52.763
1.690,52.655
1.700,55.933
1.710,57.861
1.720,56.380
1.730,56.436
1.740,54.487
1.750,55.874
1.760,54.390
1.770,56.754
1.780,54.908
1.790,54.968
1.800,53.848
1.810,55.857
1.820,53.005
1.830,52.981
1.840,55.282
1.850,56.162
1.860,52.974
1.870,57.312
1.880,54.289
1.890,57.073
1.900,53.397
1.910,54.133
1.920,55.126
1.930,53.558
1.940,57.366
