t_s,force_N
0.000,61.480
0.010,64.067
0.020,62.498
0.030,63.013
0.040,64.619
0.050,60.533
0.060,62.443
0.070,58.984
0.080,64.114
0.090,61.243
0.100,63.901
0.110,63.644
0.120,58.688
0.130,64.055
0.140,63.401
0.150,62.991
0.160,60.829
0.170,61.311
0.180,64.009
0.190,60.225
0.200,63.359
0.210,60.238
0.220,60.187
0.230,60.907
0.240,61.454
0.250,62.586
0.260,62.006
0.270,62.794
0.280,61.648
0.290,60.564
0.300,64.528
0.310,61.316
0.320,58.915
0.330,62.317
0.340,61.771
0.350,63.828
0.360,63.195
0.370,59.065
0.380,60.327
0.390,61.531
0.400,59.787
0.410,58.654
0.420,62.034
0.430,58.720
0.440,62.038
0.450,62.421
0.460,63.829
0.470,60.801
0.480,59.777
0.490,62.000
0.500,63.344
0.510,59.860
0.520,62.882
0.530,63.358
0.540,61.554
0.550,58.805
0.560,62.345
0.570,60.184
0.580,60.959
0.590,59.435
0.600,60.763
0.610,61.466
0.620,63.884
0.630,63.181
0.640,62.839
0.650,62.485
0.660,64.455
0.670,63.137
0.680,60.853
0.690,61.953
0.700,64.484
0.710,60.594
0.720,62.792
0.730,64.146
0.740,64.202
0.750,63.485
0.760,58.621
0.770,59.147
0.780,58.364
0.790,60.183
0.800,60.462
0.810,62.531
0.820,64.153
0.830,58.649
0.840,58.358
0.850,58.598
0.860,63.315
0.870,60.222
0.880,59.497
0.890,62.018
0.900,61.439
0.910,63.850
0.920,62.223
0.930,61.834
0.940,63.613
0.950,59.215
0.960,59.887
0.970,64.183
0.980,58.838
0.990,61.918
1.000,61.849
1.010,58.352
1.020,58.686
1.030,64.254
1.040,61.797
1.050,58.702
1.060,62.651
1.070,60.505
1.080,58.740
1.090,59.909
1.100,59.817
1.110,61.105
1.120,60.755
1.130,62.634
1.140,61.892
1.150,62.954
1.160,62.069
1.170,62.462
1.180,63.386
1.190,63.627
1.200,61.703
1.210,62.108
1.220,60.733
1.230,58.994
1.240,58.988
1.250,59.998
1.260,61.649
1.270,61.602
1.280,59.763
1.290,59.210
1.300,61.538
1.310,60.399
1.320,59.622
1.330,58.349
1.340,61.647
1.350,59.201
1.360,61.500
1.370,59.158
1.380,59.715
1.390,62.548
1.400,63.561
