timestamp,daily_revenue,transactions,avg_basket
2026-01-05T00:00:00,15793.64,298,52.99
2026-01-06T00:00:00,14843.27,280,53.00
2026-01-07T00:00:00,15198.84,294,51.68
2026-01-08T00:00:00,14796.60,285,51.87
2026-01-09T00:00:00,15299.28,307,49.84
2026-01-10T00:00:00,19733.79,398,49.64
2026-01-11T00:00:00,21000.39,403,52.06
2026-01-12T00:00:00,14041.53,279,50.34
2026-01-13T00:00:00,15355.05,309,49.66
2026-01-14T00:00:00,13973.55,276,50.66
2026-01-15T00:00:00,14073.14,269,52.38
2026-01-16T00:00:00,14929.64,297,50.30
2026-01-17T00:00:00,19643.95,394,49.80
2026-01-18T00:00:00,20666.94,411,50.23
2026-01-19T00:00:00,14888.22,295,50.44
2026-01-20T00:00:00,15053.68,294,51.23
2026-01-21T00:00:00,13986.59,284,49.26
2026-01-22T00:00:00,13751.76,259,53.03
2026-01-23T00:00:00,14166.25,278,50.99
2026-01-24T00:00:00,19563.90,378,51.69
2026-01-25T00:00:00,19678.79,380,51.74
2026-01-26T00:00:00,14360.51,279,51.54
2026-01-27T00:00:00,14470.85,275,52.65
2026-01-28T00:00:00,13404.45,265,50.57
2026-01-29T00:00:00,13778.68,277,49.78
2026-01-30T00:00:00,14813.96,301,49.20
2026-01-31T00:00:00,17962.85,341,52.64
2026-02-01T00:00:00,20081.23,389,51.66
2026-02-02T00:00:00,13586.36,268,50.61
2026-02-03T00:00:00,14744.10,286,51.63
2026-02-04T00:00:00,14409.22,285,50.49
2026-02-05T00:00:00,14281.87,270,52.95
2026-02-06T00:00:00,14242.41,279,51.03
2026-02-07T00:00:00,18405.01,347,53.00
2026-02-08T00:00:00,18532.08,361,51.39
2026-02-09T00:00:00,14497.67,290,50.05
2026-02-10T00:00:00,13720.37,272,50.37
2026-02-11T00:00:00,13742.77,280,49.02
2026-02-12T00:00:00,14514.77,292,49.69
2026-02-13T00:00:00,13295.14,252,52.75
2026-02-14T00:00:00,19210.33,386,49.80
2026-02-15T00:00:00,18600.77,356,52.22
2026-02-16T00:00:00,12976.78,252,51.41
2026-02-17T00:00:00,13153.32,266,49.51
2026-02-18T00:00:00,13300.46,257,51.77
2026-02-19T00:00:00,14357.59,291,49.34
2026-02-20T00:00:00,13692.61,276,49.64
2026-02-21T00:00:00,19275.97,365,52.76
2026-02-22T00:00:00,18003.13,355,50.72
2026-02-23T00:00:00,13120.12,250,52.46
2026-02-24T00:00:00,13670.47,273,50.11
2026-02-25T00:00:00,12963.75,256,50.57
2026-02-26T00:00:00,12918.27,261,49.59
2026-02-27T00:00:00,13181.14,254,51.83
2026-02-28T00:00:00,17293.50,332,52.15
2026-03-01T00:00:00,17037.84,323,52.71
2026-03-02T00:00:00,13171.69,262,50.19
2026-03-03T00:00:00,12969.66,260,49.90
2026-03-04T00:00:00,13750.22,273,50.31
2026-03-05T00:00:00,13257.22,258,51.36
2026-03-06T00:00:00,13019.32,256,50.84
2026-03-07T00:00:00,18219.38,364,50.05
2026-03-08T00:00:00,17591.57,355,49.57
2026-03-09T00:00:00,12375.43,238,51.95
2026-03-10T00:00:00,12914.23,259,49.92
2026-03-11T00:00:00,13312.73,255,52.14
2026-03-12T00:00:00,12334.38,241,51.23
2026-03-13T00:00:00,13399.52,264,50.74
2026-03-14T00:00:00,16780.09,322,52.19
2026-03-15T00:00:00,18453.06,358,51.60
2026-03-16T00:00:00,13479.78,266,50.63
2026-03-17T00:00:00,12198.62,231,52.84
2026-03-18T00:00:00,12392.49,252,49.10
2026-03-19T00:00:00,12919.15,251,51.52
2026-03-20T00:00:00,12093.02,230,52.51
2026-03-21T00:00:00,17530.42,355,49.42
2026-03-22T00:00:00,17856.25,342,52.27
2026-03-23T00:00:00,13119.48,256,51.22
2026-03-24T00:00:00,12107.96,232,52.13
2026-03-25T00:00:00,13187.57,258,51.06
2026-03-26T00:00:00,12997.91,258,50.39
2026-03-27T00:00:00,12754.22,253,50.44
2026-03-28T00:00:00,16855.44,330,51.09
2026-03-29T00:00:00,18006.06,365,49.27
2026-03-30T00:00:00,13312.40,262,50.86
2026-03-31T00:00:00,12301.85,238,51.63
2026-04-01T00:00:00,11887.79,238,50.00
2026-04-02T00:00:00,12459.17,244,51.06
2026-04-03T00:00:00,12552.61,251,49.99
2026-04-04T00:00:00,16830.36,337,49.95
