t_s,envelope_uV
0.000,60.9290
0.010,66.2661
0.020,57.5381
0.030,64.2582
0.040,65.3084
0.050,59.3488
0.060,68.0565
0.070,59.5235
0.080,65.9655
0.090,66.2394
0.100,64.1980
0.110,65.0828
0.120,58.5622
0.130,63.5814
0.140,59.0089
0.150,58.6564
0.160,59.6061
0.170,58.8318
0.180,69.6599
0.190,69.0844
0.200,64.8885
0.210,66.7080
0.220,61.0802
0.230,65.5486
0.240,68.2802
0.250,69.0784
0.260,64.0387
0.270,67.6484
0.280,60.4984
0.290,70.2880
0.300,65.0682
0.310,65.3360
0.320,70.0183
0.330,63.5362
0.340,67.4073
0.350,70.2902
0.360,61.3653
0.370,63.9513
0.380,69.9635
0.390,66.2489
0.400,66.3916
0.410,64.3827
0.420,64.3329
0.430,65.1137
0.440,70.9030
0.450,64.1459
0.460,60.8703
0.470,60.5575
0.480,64.5933
0.490,60.4657
0.500,68.2011
0.510,68.5729
0.520,58.7011
0.530,70.2738
0.540,69.1031
0.550,61.3869
0.560,65.4850
0.570,64.4769
0.580,61.3390
0.590,57.4821
0.600,61.2678
0.610,66.0003
0.620,63.5695
0.630,58.9156
0.640,64.0093
0.650,65.5584
0.660,66.3336
0.670,61.8852
0.680,57.1725
0.690,57.1117
0.700,64.8291
0.710,65.2722
0.720,54.7428
0.730,65.4848
0.740,57.0782
0.750,61.3163
0.760,57.0420
0.770,55.9833
0.780,60.5591
0.790,63.5080
0.800,57.7616
0.810,55.6062
0.820,54.9904
0.830,60.5539
0.840,57.9219
0.850,52.8398
0.860,52.6663
0.870,51.9568
0.880,55.2323
0.890,63.3807
0.900,62.0389
0.910,54.8794
0.920,52.9833
0.930,51.5092
0.940,56.2668
0.950,56.4858
0.960,58.7122
0.970,56.9357
0.980,55.8903
0.990,50.5750
1.000,52.6347
1.010,58.9153
1.020,55.5623
1.030,56.8594
1.040,53.5127
1.050,52.9007
1.060,51.6227
1.070,54.1688
1.080,58.4299
1.090,53.2440
1.100,51.2388
1.110,57.2759
1.120,61.9326
1.130,51.8347
1.140,55.1979
1.150,58.7197
1.160,53.8825
1.170,60.2786
1.180,60.4355
1.190,58.4893
1.200,61.3635
1.210,52.4616
1.220,63.1083
1.230,58.0812
1.240,59.2318
1.250,63.0864
1.260,60.5496
1.270,56.8459
1.280,54.0623
1.290,60.0893
1.300,53.9761
1.310,59.7843
1.320,62.2673
1.330,55.2372
1.340,59.1663
1.350,64.0991
1.360,62.3426
1.370,56.0502
1.380,55.4665
1.390,62.0109
1.400,60.7766
1.410,58.2797
1.420,62.2526
1.430,59.2748
1.440,64.7253
1.450,65.7326
1.460,57.7448
1.470,58.4188
1.480,67.2134
1.490,56.4359
1.500,60.8728
1.510,64.2885
1.520,68.5317
1.530,62.1847
1.540,66.5001
1.550,57.6162
1.560,57.8579
1.570,61.2857
1.580,64.0166
1.590,64.2935
1.600,60.5460
1.610,66.3653
1.620,59.7319
1.630,64.4589
1.640,68.9633
1.650,68.9552
1.660,68.2401
1.670,68.2343
1.680,71.2909
1.690,63.0815
1.700,67.4891
1.710,69.5173
1.720,65.6040
1.730,61.8632
1.740,61.0037
1.750,60.9211
1.760,69.9411
1.770,66.8819
1.780,67.1079
1.790,70.6820
1.800,70.9661
1.810,70.2260
1.820,65.7019
1.830,71.5298
1.840,60.2123
1.850,66.1129
1.860,63.9997
1.870,59.6786
1.880,66.1335
1.890,68.3655
1.900,61.0757
1.910,62.3978
1.920,68.2423
1.930,62.3460
1.940,68.9092
1.950,63.2163
1.960,67.9044
1.970,60.1266
1.980,66.9669
1.990,67.0578
2.000,59.8321
2.010,69.0429
2.020,67.5263
2.030,65.6831
2.040,63.0796
2.050,59.5632
2.060,65.6657
2.070,65.9356
2.080,67.5409
2.090,59.9544
2.100,61.6076
2.110,65.6281
2.120,62.2538
2.130,57.7641
2.140,60.9267
2.150,57.8639
2.160,64.2529
2.170,63.0926
2.180,62.1472
2.190,57.8865
2.200,63.0092
2.210,63.7771
2.220,58.7669
2.230,64.6101
2.240,54.4662
2.250,55.4773
2.260,55.4736
2.270,60.0243
2.280,62.9746
2.290,53.1378
2.300,59.5155
2.310,60.8539
2.320,56.1783
2.330,63.3024
2.340,53.7559
2.350,54.5267
2.360,59.5937
2.370,63.0641
2.380,56.0034
2.390,55.9248
2.400,56.5420
2.410,57.5970
2.420,60.4843
2.430,62.0029
2.440,51.3086
2.450,59.1632
2.460,52.1583
2.470,60.7001
2.480,58.6026
2.490,61.6905
2.500,54.6996
2.510,61.1339
2.520,50.2760
2.530,61.7204
2.540,51.1334
2.550,59.4695
2.560,56.1917
2.570,55.6037
2.580,54.1986
2.590,62.7609
2.600,61.2324
2.610,53.8404
2.620,60.7219
2.630,58.3456
2.640,56.7801
2.650,60.6818
2.660,61.6335
2.670,62.7380
2.680,54.2749
2.690,55.6081
2.700,60.8032
2.710,63.7661
2.720,57.7491
2.730,62.0201
2.740,63.6497
2.750,57.4924
2.760,59.3707
2.770,53.7494
2.780,62.8099
2.790,64.8049
2.800,58.2008
2.810,58.6658
2.820,58.0879
2.830,54.5998
2.840,66.1142
2.850,60.8335
2.860,60.3266
2.870,60.9710
2.880,56.4963
2.890,64.9810
2.900,66.6096
2.910,61.0410
2.920,60.1355
2.930,57.0743
2.940,67.6009
2.950,69.0761
2.960,69.2580
2.970,59.3366
2.980,64.2279
2.990,68.2982
3.000,68.8019
3.010,60.4044
3.020,69.1513
3.030,63.3554
3.040,66.2809
3.050,67.3500
3.060,66.4202
3.070,61.4182
3.080,60.4148
3.090,67.2809
3.100,63.5170
3.110,65.4215
3.120,70.1367
3.130,68.4707
3.140,71.2641
3.150,62.7523
3.160,68.5207
3.170,64.0346
3.180,60.9659
3.190,65.3550
3.200,61.3328
3.210,63.7635
3.220,67.1867
3.230,67.6872
3.240,63.4566
3.250,64.3559
3.260,63.9785
3.270,67.6529
3.280,64.0843
3.290,71.5455
3.300,70.5659
3.310,66.4664
3.320,66.9589
3.330,68.4095
3.340,65.9490
3.350,59.9429
3.360,68.1198
3.370,60.2147
3.380,65.2444
3.390,68.7263
3.400,62.6167
3.410,63.8643
3.420,68.9588
3.430,59.1700
3.440,66.0427
3.450,64.5678
3.460,58.5320
3.470,66.5448
3.480,61.4879
3.490,66.8758
3.500,58.2460
3.510,57.7279
3.520,59.1584
3.530,62.4255
3.540,67.7413
3.550,57.1973
3.560,62.7311
3.570,59.9703
3.580,58.5282
3.590,61.4297
3.600,59.5802
3.610,63.3906
3.620,61.8364
3.630,54.0677
3.640,65.1458
3.650,58.2210
3.660,59.0970
3.670,54.3003
3.680,60.1222
3.690,62.3917
3.700,62.1867
3.710,52.6970
3.720,54.6011
3.730,54.4027
3.740,63.9709
3.750,60.2394
3.760,52.7466
3.770,55.3172
3.780,52.6896
3.790,55.9860
3.800,56.7664
3.810,53.2569
3.820,57.2369
3.830,54.0653
3.840,60.0530
3.850,60.4026
3.860,59.1898
3.870,57.0017
3.880,59.8530
3.890,53.3227
3.900,62.0232
3.910,62.5401
3.920,56.0968
3.930,59.9021
3.940,57.4132
3.950,54.1818
3.960,60.8530
3.970,57.2980
3.980,55.3145
3.990,58.2869
4.000,61.9305
4.010,61.8099
4.020,62.9267
4.030,62.7690
4.040,52.8566
4.050,53.6188
4.060,54.8635
4.070,54.5884
4.080,53.4297
4.090,57.9479
4.100,55.9116
4.110,61.0200
4.120,58.4090
4.130,55.9056
4.140,60.1389
4.150,56.8235
4.160,63.8550
4.170,53.0004
4.180,62.3400
4.190,55.6041
4.200,63.2731
4.210,55.2201
4.220,62.7551
4.230,58.2942
4.240,62.6331
4.250,61.9536
4.260,62.5413
4.270,56.4158
4.280,55.7733
4.290,56.3091
4.300,59.1181
4.310,63.5090
4.320,64.3325
4.330,58.9267
4.340,64.8143
4.350,68.7536
4.360,59.6638
4.370,68.6874
4.380,59.1716
4.390,68.8552
4.400,65.2544
4.410,64.7438
4.420,63.2840
4.430,65.2753
4.440,69.8976
4.450,67.0601
4.460,66.7138
4.470,63.2559
4.480,64.3130
4.490,60.2098
4.500,62.5750
4.510,59.7417
4.520,65.6657
4.530,69.7231
4.540,67.0459
4.550,62.8598
4.560,62.5411
4.570,60.9020
4.580,70.4084
4.590,69.5938
4.600,69.4291
4.610,64.5874
4.620,65.4164
4.630,70.3961
4.640,70.9632
4.650,68.3103
4.660,67.0060
4.670,64.9401
4.680,63.7539
4.690,65.2264
4.700,67.0650
4.710,70.6896
4.720,70.5686
4.730,60.8896
4.740,69.7059
4.750,70.4446
4.760,60.0984
4.770,63.9069
4.780,63.3953
4.790,61.5749
4.800,65.0916
4.810,60.4388
4.820,68.3451
4.830,69.4352
4.840,61.4038
4.850,60.3225
4.860,67.2343
4.870,63.1922
4.880,65.3399
4.890,62.7123
4.900,60.2437
4.910,63.8073
4.920,58.9197
4.930,62.3062
4.940,61.8062
4.950,60.7893
4.960,65.4800
4.970,65.8099
4.980,64.5623
4.990,61.2794
5.000,56.8781
5.010,66.7217
5.020,58.9324
5.030,63.2285
5.040,60.5503
5.050,64.2367
5.060,59.6673
5.070,54.2454
5.080,62.6697
5.090,60.9277
5.100,53.7811
5.110,60.6144
5.120,57.8523
5.130,62.8560
5.140,63.0498
5.150,58.5799
5.160,61.9540
5.170,55.2181
5.180,55.6854
5.190,59.0783
5.200,58.3606
5.210,63.5570
5.220,55.5296
5.230,61.1256
5.240,62.7701
5.250,61.2348
5.260,63.1775
5.270,56.4445
5.280,58.0201
5.290,54.4098
5.300,61.1186
5.310,62.7569
5.320,60.6317
5.330,54.1295
5.340,61.6066
5.350,53.5682
5.360,59.9760
5.370,54.9031
5.380,62.4555
5.390,59.4438
5.400,61.4949
5.410,51.8318
5.420,56.2302
5.430,55.1251
5.440,61.5202
5.450,62.5701
5.460,62.5664
5.470,61.9790
5.480,60.1359
5.490,62.1485
5.500,55.5126
5.510,53.3339
5.520,54.9784
5.530,57.4556
5.540,62.2320
5.550,63.5003
5.560,59.8164
5.570,55.4594
5.580,63.6901
5.590,61.4860
5.600,56.5951
5.610,63.5525
5.620,59.8774
5.630,61.8297
5.640,62.3490
5.650,55.8629
5.660,60.5528
5.670,57.0281
5.680,55.4451
5.690,60.9737
5.700,64.9798
5.710,60.2593
5.720,61.8452
5.730,61.1419
5.740,58.3826
5.750,63.5903
5.760,67.5306
5.770,59.1436
5.780,63.9171
5.790,66.7057
5.800,63.5759
5.810,59.7163
5.820,61.5367
5.830,58.2320
5.840,70.2805
5.850,69.2952
5.860,59.2123
5.870,70.4041
5.880,60.7537
5.890,60.8041
5.900,68.4793
5.910,68.6872
5.920,62.2639
5.930,61.7478
5.940,69.3686
5.950,70.5206
5.960,70.4800
5.970,66.6326
5.980,68.3084
5.990,63.6352
6.000,70.6029
6.010,66.2293
6.020,63.3743
6.030,65.5630
6.040,65.5175
6.050,66.8956
6.060,62.6490
6.070,63.0494
6.080,60.7619
6.090,69.5321
6.100,66.8860
6.110,67.8751
6.120,60.4412
6.130,66.3090
6.140,62.4273
6.150,65.8503
6.160,68.3239
6.170,60.6543
6.180,66.3108
6.190,62.4289
6.200,70.9282
6.210,68.4815
6.220,68.5474
6.230,63.5368
6.240,68.5143
6.250,69.4860
6.260,70.2903
6.270,61.3967
6.280,69.7013
6.290,63.8405
6.300,61.7188
6.310,62.6334
6.320,63.4113
6.330,62.3535
6.340,57.5832
6.350,60.4114
6.360,57.3767
6.370,60.8983
6.380,61.2591
6.390,62.9584
6.400,60.1252
6.410,64.9958
6.420,58.5590
6.430,66.2263
6.440,64.0228
6.450,61.3178
6.460,58.9226
6.470,64.5048
6.480,54.9832
6.490,55.7436
6.500,62.7960
6.510,59.9068
6.520,57.0112
6.530,62.2886
6.540,59.8447
6.550,65.3262
6.560,59.3096
6.570,57.6315
6.580,63.5099
6.590,64.4077
6.600,61.5313
6.610,58.5366
6.620,62.7588
6.630,52.7055
6.640,53.3421
6.650,62.7666
6.660,60.4433
6.670,56.2617
6.680,61.0218
6.690,51.6142
6.700,59.8420
6.710,63.0314
6.720,57.2862
6.730,51.6687
6.740,54.2836
6.750,56.6673
