t_s,envelope_uV
0.000,73.1024
0.010,64.2365
0.020,61.5079
0.030,62.5989
0.040,71.7106
0.050,68.5577
0.060,74.8886
0.070,68.4148
0.080,64.6884
0.090,66.3393
0.100,65.1455
0.110,68.9207
0.120,67.8496
0.130,66.7197
0.140,64.9485
0.150,69.9142
0.160,65.7806
0.170,73.8745
0.180,71.8847
0.190,70.9660
0.200,65.0550
0.210,75.0237
0.220,76.1224
0.230,73.7310
0.240,72.9942
0.250,65.7019
0.260,73.3185
0.270,76.1417
0.280,72.2837
0.290,75.0952
0.300,75.0775
0.310,65.6891
0.320,67.8450
0.330,75.6995
0.340,67.7449
0.350,66.3922
0.360,77.2497
0.370,73.6033
0.380,74.8173
0.390,77.4125
0.400,73.2399
0.410,67.6383
0.420,73.7011
0.430,66.5044
0.440,66.2284
0.450,70.3619
0.460,71.6130
0.470,73.5766
0.480,66.3822
0.490,70.8501
0.500,64.7106
0.510,73.4365
0.520,68.3254
0.530,71.6924
0.540,67.7202
0.550,69.2673
0.560,64.3543
0.570,68.5497
0.580,64.7892
0.590,71.2486
0.600,66.6391
0.610,64.2306
0.620,63.4544
0.630,67.9982
0.640,75.3273
0.650,68.2705
0.660,67.8108
0.670,61.5905
0.680,67.0795
0.690,73.4794
0.700,69.2489
0.710,62.8612
0.720,62.1559
0.730,69.1460
0.740,64.6876
0.750,66.9402
0.760,60.5201
0.770,65.7474
0.780,70.4690
0.790,71.0670
0.800,65.9754
0.810,66.4978
0.820,69.8534
0.830,63.7038
0.840,59.5287
0.850,64.9711
0.860,61.1957
0.870,58.5985
0.880,65.7899
0.890,59.3246
0.900,68.9659
0.910,68.4837
0.920,67.7914
0.930,61.9477
0.940,67.1071
0.950,62.2034
0.960,67.4262
0.970,58.2682
0.980,57.7902
0.990,63.9879
1.000,56.5911
1.010,58.0956
1.020,61.2533
1.030,56.5254
1.040,61.1774
1.050,60.8038
1.060,65.7016
1.070,64.8457
1.080,60.9601
1.090,56.3790
1.100,61.6705
1.110,61.2913
1.120,59.0970
1.130,62.9162
1.140,57.8634
1.150,61.1785
1.160,61.1762
1.170,61.5563
1.180,59.9436
1.190,65.6715
1.200,61.7984
1.210,61.3143
1.220,66.4600
1.230,64.2096
1.240,56.8430
1.250,59.9333
1.260,66.6534
1.270,65.1038
1.280,59.3264
1.290,61.8918
1.300,64.9411
1.310,63.3831
1.320,61.1170
1.330,61.3632
1.340,65.9161
1.350,62.7579
1.360,60.7321
1.370,67.1426
1.380,69.7714
1.390,69.4398
1.400,59.8237
1.410,66.7788
1.420,65.9836
1.430,62.3705
1.440,70.6149
1.450,63.9280
1.460,71.2999
1.470,70.4718
1.480,71.1331
1.490,64.0729
1.500,74.6628
1.510,73.4955
1.520,69.6713
1.530,65.0923
1.540,67.3479
1.550,67.3988
1.560,74.7627
1.570,65.4756
1.580,71.3156
1.590,70.8593
1.600,70.4892
1.610,70.6417
1.620,73.4325
1.630,67.5654
1.640,71.5720
1.650,72.1889
1.660,66.1141
1.670,75.1139
1.680,77.9123
1.690,77.3361
1.700,74.5296
1.710,66.8875
1.720,66.9103
1.730,70.1830
1.740,73.1138
1.750,76.7005
1.760,67.0652
1.770,70.2551
1.780,77.2858
1.790,71.6328
1.800,70.1609
1.810,70.5585
1.820,76.4588
1.830,77.4496
1.840,74.2870
1.850,69.1220
1.860,77.0516
1.870,72.5908
1.880,74.4063
1.890,73.3990
1.900,75.3975
1.910,71.7217
1.920,69.5949
1.930,75.7884
1.940,74.4139
1.950,74.2205
1.960,66.9389
1.970,65.4850
1.980,70.9289
1.990,76.9072
2.000,72.5420
2.010,67.0854
2.020,73.9353
2.030,68.0804
2.040,64.7974
2.050,72.8287
2.060,74.7034
2.070,72.8479
2.080,65.3628
2.090,70.4584
2.100,67.9203
2.110,64.7975
2.120,70.9060
2.130,71.6185
2.140,64.0687
2.150,67.9821
2.160,69.4810
2.170,62.0864
2.180,64.0147
2.190,66.3756
2.200,68.7079
2.210,68.8989
2.220,62.7282
2.230,70.8819
2.240,60.8648
2.250,61.0819
2.260,63.7187
2.270,66.4216
2.280,63.8630
2.290,58.1065
2.300,67.9132
2.310,62.3696
2.320,60.4589
2.330,64.0385
2.340,58.6756
2.350,60.3885
2.360,69.0379
2.370,68.6626
2.380,62.0662
2.390,67.8241
2.400,59.0887
2.410,66.0919
2.420,56.7716
2.430,67.1478
2.440,64.0524
2.450,55.6761
2.460,65.0586
2.470,61.1582
2.480,58.5335
2.490,67.7034
2.500,63.8845
2.510,61.0622
2.520,63.3609
2.530,66.3522
2.540,60.5673
2.550,65.7116
2.560,57.5279
2.570,59.9135
2.580,61.1872
2.590,57.2009
2.600,57.5266
2.610,61.7573
2.620,64.5841
2.630,57.9242
2.640,69.3176
2.650,69.0956
2.660,69.9848
2.670,59.7440
2.680,58.9655
2.690,62.6554
2.700,64.4194
2.710,69.1307
2.720,60.7416
2.730,71.2162
2.740,69.4150
2.750,69.4829
2.760,61.2669
2.770,60.3623
2.780,67.9362
2.790,66.3638
2.800,65.4765
2.810,70.2294
2.820,69.7898
2.830,69.6181
2.840,64.6571
2.850,66.4646
2.860,64.5098
2.870,68.5758
2.880,62.5906
2.890,67.9728
2.900,65.3425
2.910,65.8516
2.920,73.4012
2.930,67.4603
2.940,71.4494
2.950,75.7601
2.960,70.7695
2.970,73.5920
2.980,71.5234
2.990,71.5179
3.000,69.5982
3.010,68.8507
3.020,76.0375
3.030,64.4717
3.040,70.6360
3.050,71.5850
3.060,69.2066
3.070,65.8135
3.080,66.4342
3.090,68.0961
3.100,70.1357
3.110,77.9336
